,17년도 경찰서,17년도 지구대,17년도 파출소,18년도 경찰서,18년도 지구대,18년도 파출소,19년도 경찰서,19년도 지구대,19년도 파출소,20년도 경찰서,20년도 지구대,20년도 파출소,21년도 경찰서,21년도 지구대,21년도 파출소
서울,31,88,151,31,88,152,31,96,145,31,96,145,31,98,144
부산,15,50,42,15,50,42,15,49,45,15,49,45,15,49,45
대구,10,30,30,10,30,31,10,30,32,10,31,31,10,31,31
인천,9,37,38,9,37,38,10,37,38,10,39,36,10,39,36
광주,5,19,21,5,19,21,5,19,21,5,19,21,5,19,21
대전,6,17,10,6,17,10,6,19,9,6,20,10,6,21,10
울산,4,10,20,4,10,20,4,10,20,4,10,20,5,10,20
세종,1,,,1,,,1,4,5,1,4,5,1,4,5
경기남부,30,67,169,30,67,171,31,91,152,31,91,154,31,91,157
경기북부,12,19,74,12,19,74,12,23,71,12,23,71,13,24,73
강원,17,30,75,17,30,75,17,31,74,17,31,74,17,31,74
충북,12,27,51,12,27,51,12,27,52,12,27,52,12,28,51
충남,15,32,89,16,32,89,16,38,85,15,34,80,15,37,78
전북,15,22,141,15,22,141,15,26,138,15,26,138,15,28,136
전남,21,15,190,21,15,190,21,15,191,21,15,191,21,15,191
경북,24,21,210,24,21,211,24,24,209,24,24,210,24,24,210
경남,23,26,144,23,26,144,23,38,134,23,39,135,23,39,137
제주,3,6,18,3,6,19,3,7,19,3,7,19,3,7,19
