구분(1),구분(2),전체 사업체 (개),CCTV 설치/운영 사업체 수 (개),CCTV 설치/운영 사업체 비율 (%),CCTV 미설치/미운영 사업체 수 (개),CCTV 미설치/미운영 사업체 비율 (%),CCTV 설치/운영 대수 (대)
전체,소계,3676875,1198587,32.6,2478288,67.4,8076415
지역별,서울,785093,226706,28.9,558387,71.1,1815847
지역별,부산,271983,58222,21.4,213761,78.6,242086
지역별,대구,195717,68775,35.1,126942,64.9,616636
지역별,인천,177990,70216,39.4,107774,60.6,334862
지역별,광주,108808,57166,52.5,51642,47.5,283180
지역별,대전,105676,37585,35.6,68091,64.4,222793
지역별,울산,76993,18103,23.5,58890,76.5,118350
지역별,세종,7468,1767,23.7,5701,76.3,174474
지역별,경기,773216,295143,38.2,478073,61.8,1937975
지역별,강원,129403,34022,26.3,95381,73.7,278993
지역별,충북,115611,42622,36.9,72989,63.1,244699
지역별,충남,145998,53927,36.9,92071,63.1,267057
지역별,전북,139656,41866,30,97790,70,213388
지역별,전남,136889,54640,39.9,82249,60.1,272790
지역별,경북,205734,58090,28.2,147644,71.8,350303
지역별,경남,248913,67339,27.1,181574,72.9,651360
지역별,제주,51727,12399,24,39328,76,51622
조직형태별,개인사업체,2986640,855335,28.6,2131305,71.4,3253983
조직형태별,회사법인,454080,209819,46.2,244261,53.8,1866514
조직형태별,회사이외 법인,67428,42810,63.5,24618,36.5,706809
조직형태별,비법인단체,129846,63017,48.5,66829,51.5,1515315
조직형태별,국가/지방자치단체,38881,27606,71,11275,29,733794
