연번,도로명,수량,데이터기준일
1,서문대로(남구청~건덕터널),549,2023-04-19
2,대남대로(서구경계~남광주고가),246,2023-04-19
3,월산로(돌고개역~백운초),96,2023-04-19
4,독립로(백운교차로~월산교차로),134,2023-04-19
5,봉선로(남구청~남구문화도서관),125,2023-04-19
6,주월로(짚봉터널~국제양궁장),72,2023-04-19
7,금화로(서구경계~대남대로),47,2023-04-19
8,수박등로(월산119센터~무진중오거리),21,2023-04-19
9,중앙로(무진중~천변좌로),83,2023-04-19
10,양림로(기독병원~학강초),24,2023-04-19
11,천변좌로,101,2023-04-19
12,오방로(남광주고가~동아여고사거리),74,2023-04-19
13,용대로(무등파크맨션3차~용산터널),64,2023-04-19
14,군분로(남부아파트~주월2동 행정복지센터),105,2023-04-19
15,회재로(금당중~주월양우내안애),75,2023-04-19
16,회재로(지석동~서구 경계),241,2023-04-19
17,포충로(빛고을테마공원~대촌행정복지센터),224,2023-04-19
18,효우로(행암교차로~진월국제테니스장),436,2023-04-19
19,효덕로(진월국제테니스장~화순경계),130,2023-04-19
20,화산로(효덕초~동구 경계),79,2023-04-19
21,제석로(봉선1차남양~남구 다목적체육관),30,2023-04-19
22,송암로(송암고가~서구 경계),96,2023-04-19
23,봉선1로,56,2023-04-19
24,봉선중앙로,28,2023-04-19
25,도시첨단산업로,130,2023-04-19
