,2017,2018,2019,2020,2021
서울,352471,341288,340504,318320,274830
부산,130148,126230,128725,127673,113558
대구,82281,79489,82905,79182,72339
인천,101526,94605,101289,96340,85432
광주,54627,51223,52827,49869,44610
대전,50357,48184,47929,46960,41921
울산,26558,25323,25814,24911,23463
세종,5023,5331,6300,6651,6147
경기,459893,429953,433498,429487,388004
강원,58900,52495,53289,51544,45398
충북,56944,53659,53801,51645,47020
충남,73772,75405,73817,71847,63290
전북,57238,56353,58012,56210,52587
전남,64618,65932,68566,67448,60205
경북,89049,85371,88098,83790,75300
경남,127294,117243,123992,123406,111102
제주,34177,30106,28318,29296,26499
